Date & Time,WAHDAT COLONY,SUTLAJ,CLIFTON COLONY,NEELUM,HUNZA,G IQBAL,SPARCO,RAZA,CANAL VIEW,INDUSTRIAL-II,MUSTAFA TOWN-II,UNIVERSITY,AUBIA,SHAH KAMAL,ZAID HOSPITAL,MOHD PURA,KIDNEY CENTER,MOTA SINGH WALA,GOHAWA,HAIR,ASKARI-II,EXPRESS,DEFENCE RAYA COUNTRY,PACE WOOD,BD-3,BD-10,SECTOR-M,EXPRESS -3 ,LEEL,BABU MEHAR TOWN,HAJI  PARK,L-BLOCK PHASE-V,D-BLOCK PHASE-V,BD -9,FEEDER-1 SECTOR A&B (EXTN) ,FEEDER-6 SECTOR K,FEEDER-12 SECTOR G,FEEDER-10  SECTOR A,EXPRESS FEEDER 4 PHASE-V
2020-04-29,1293.23,449.01599999999996,1411.544,1630.4959999999999,960.7280000000001,1437.4560000000001,684.768,613.3919999999999,844.816,1928.3680000000004,899.6480000000001,674.6080000000001,1114.0240000000001,1720.616,428.25600000000003,706.376,100.94800000000001,600.0640000000001,1859.344,1980.464,588.948,885.272,3.9299999999999993,123.076,49.879999999999995,179.75000000000003,13.004000000000001,402.748,763.248,1569.56,2005.3759999999997,629.8480000000001,726.2719999999999,126.83200000000002,648.107,418.72,1047.2040000000002,967.988,1124.3200000000002
2020-05-06,1405.235,499.50800000000004,1493.136,1741.9280000000003,1042.576,1583.432,811.4879999999999,653.9440000000001,927.4479999999999,2047.768,962.4319999999998,730.3879999999999,1228.4840000000002,1863.0160000000003,397.216,1004.652,116.936,651.2239999999999,1924.0279999999998,2055.76,627.5960000000001,945.2160000000001,3.456,133.268,53.263999999999996,191.318,11.472,428.58400000000006,774.772,1711.2320000000002,2118.3360000000002,681.152,776.2159999999999,140.872,725.98,439.99600000000004,1118.9560000000001,1027.2839999999999,1192.4879999999998
2020-05-13,1474.41,581.324,1534.84,1832.3600000000004,1080.4160000000002,1637.4200000000003,906.7839999999999,675.12,940.512,2071.2960000000003,1025.0240000000001,751.408,1266.032,1912.952,130.464,1068.092,114.05600000000003,666.3359999999999,1970.36,2090.912,638.56,1187.696,2.4000000000000004,138.664,50.712,193.95000000000002,13.312000000000001,457.808,805.912,1717.2400000000002,2196.368,687.9440000000001,787.0400000000001,148.028,759.466,459.688,1148.94,1051.864,1246.4959999999999
2020-05-20,1860.15,777.672,1911.208,2309.344,1353.248,2054.536,1126.648,816.908,1017.064,2563.952,1298.848,864.648,1552.088,2405.44,526.272,1339.4319999999998,114.952,754.704,2216.6800000000003,2296.5119999999997,862.664,1152.976,3.371999999999999,177.768,40.55599999999999,199.998,14.48,621.224,982.336,1964.7759999999998,2554.6879999999996,892.704,1029.504,129.614,924.136,593.2760000000001,1520.032,1365.608,1547.728
2020-05-27,1680.5100000000002,717.9,1703.592,2074.8320000000003,1224.768,1867.552,1024.976,759.612,1006.2719999999999,2299.04,1146.0320000000002,826.672,1457.32,2117.224,417.992,1161.772,122.584,669.5600000000001,1953.752,2157.768,748.3880000000001,1106.6580000000001,4.2139999999999995,162.452,62.66400000000001,201.64000000000001,14.788,680.92,828.552,1797.536,2254.12,782.16,916.696,162.55599999999998,849.4219999999999,537.152,1323.244,1196.3319999999999,1496.128
2020-06-03,1636.785,629.3400000000001,1708.904,2074.348,1194.412,1862.632,1029.8,781.9,1133.76,2319.384,1136.596,869.352,1490.9279999999999,2116.32,265.84,1159.9,123.28399999999999,691.168,1960.4199999999998,2079.464,701.708,1250.356,8.308,149.66000000000003,62.015999999999984,202.952,15.988,669.184,853.512,1790.604,2241.4800000000005,738.9080000000001,843.02,166.488,807.27,498.076,1205.076,1114.178,1417.192
2020-06-10,1990.6599999999996,738.296,2063.568,2489.3520000000003,1446.792,2155.88,1230.484,904.696,1324.764,2795.016,1427.396,987.7919999999999,1780.656,2535.9,432.928,1420.316,149.524,807.8,2302.032,2531.328,922.1,1094.0639999999999,10.479999999999999,188.014,68.696,191.91,16.096,772.8000000000001,1014.5360000000001,2108.3599999999997,2673.992,914.0520000000001,1088.04,189.55800000000002,962.53,616.976,1532.79,1414.988,1717.0320000000002
2020-06-17,2358.13,827.1759999999999,2372.828,2852.8719999999994,1689.724,2502.5960000000005,1402.012,1039.652,1546.04,3201.9439999999995,1720.4959999999999,1125.616,2085.268,2837.2440000000006,264.696,1636.176,171.244,894.932,2423.9,2606.376,1077.9740000000002,983.9940000000001,64.586,217.75,71.2,182.128,15.832,880.832,1094.328,2178.656,2963.4359999999992,1047.044,2160.7599999999998,201.62599999999998,1038.734,704.676,1765.8619999999999,683.076,1886.1320000000003
2020-06-24,2143.045,799.6800000000001,2219.92,2700.216,1573.2520000000002,2301.756,1308.756,991.912,1419.252,2972.876,1556.7200000000003,1059.776,1885.8,2669.4159999999997,97.72,1512.4080000000001,159.936,814.4920000000001,2277.268,2488.776,930.29,1123.06,55.636,198.498,61.864,188.874,16.272,821.21,1021.8319999999999,2112.264,2732.692,898.4399999999998,1880.6000000000001,183.36399999999998,976.487,622.516,1512.0300000000002,604.98,1705.784
2020-07-01,2401.975,862.8400000000001,2461.2120000000004,2968.8120000000004,1729.676,2624.5119999999997,1443.6960000000001,1080.212,1537.68,3369.856,1811.648,1205.4959999999999,2089.82,2969.664,207.92800000000003,1687.7040000000002,171.30800000000002,910.6720000000001,2461.824,2711.528,1061.278,872.27,72.23599999999999,229.22800000000007,76.272,184.39,16.791999999999998,969.8199999999999,1099.752,2295.3720000000003,3074.604,1021.5600000000002,2060.812,218.328,1093.032,681.868,1699.468,665.3519999999999,1876.848
2020-07-08,2144.17,860.0040000000001,2177.612,2699.92,1587.472,2393.3959999999997,1284.7740000000001,976.024,1435.0159999999998,2969.968,1541.021,1153.0800000000002,1896.5280000000002,2701.34,205.545,1526.6999999999998,169.323,805.452,2315.924,2378.3279999999995,924.626,981.8910000000001,71.784,213.47199999999995,68.678,186.32599999999996,15.388,881.7,989.1159999999999,2168.156,2737.144,909.5360000000001,1889.2720000000004,211.15,962.8600000000001,589.157,1452.4499999999998,582.248,1685.708
2020-07-15,1908.95,793.264,1877.8300000000004,2318.8439999999996,1398.304,2041.2920000000001,1100.572,866.34,1266.0079999999998,2646.152,1272.6950000000002,1062.816,1653.2040000000002,2436.7960000000003,303.20000000000005,1348.328,172.137,721.8620000000001,2043.744,2391.44,817.784,1010.066,70.47599999999998,191.916,59.527,188.83200000000002,14.716000000000001,758.396,890.86,2062.8360000000002,2565.281,819.5920000000001,1657.6639999999998,229.211,867.6460000000001,509.984,1230.158,507.801,1460.945
2020-07-22,2123.94,774.276,2186.8599999999997,2673.12,1529.5600000000002,2310.232,1323.54,962.7360000000001,1399.292,2919.256,1522.608,1192.952,1836.4680000000003,2643.808,917.2920000000001,1480.12,189.561,847.2639999999999,2357.0719999999997,2778.656,882.8359999999999,837.968,57.036,206.23600000000002,72.392,188.45999999999998,15.412,807.94,1053.404,2260.968,2859.592,875.4720000000001,1795.6640000000002,254.595,924.386,577.304,1405.396,551.38,1733.768
2020-07-29,2341.74,747.333,2397.552,2952.08,1677.12,2455.015,1187.972,1068.193,1348.2920000000001,3161.784,1717.992,1104.336,1901.872,2938.516,345.392,1662.0520000000001,154.04700000000003,798.6719999999999,2399.0960000000005,2516.04,905.2479999999999,641.017,70.35600000000001,202.66400000000002,65.36,184.596,16.304000000000002,749.4820000000001,1041.74,2066.808,2934.432,906.336,1652.6,259.795,1044.8310000000001,581.48,1482.472,563.16,1662.912
2020-08-05,2500.6,884.8439999999999,2313.1,3025.768,1776.484,2621.536,1466.208,1124.472,1621.9039999999998,3108.6400000000003,1687.568,1303.5520000000001,1938.9759999999999,3050.276,301.32000000000005,1736.0,176.734,886.428,2433.624,2806.8320000000003,1003.7599999999999,622.944,81.788,228.14000000000001,75.032,182.954,12.291999999999998,677.8199999999999,1053.1999999999998,2291.82,3094.92,967.52,856.776,438.96400000000006,1094.92,579.7760000000001,1534.98,561.924,1796.8160000000003
